GEO,T-Y15-24,F-Y15-24,M-Y15-24,T-Y-GE25,F-Y-GE25,M-Y-GE25
TR83,10.4,9.5,11.1,6.1,7.4,5.3
TR83,10.4,9.5,11.1,5.2,4.7,5.4
TR9,15.3,9.6,19.7,5.2,4.7,5.4
TR9,15.3,9.6,19.7,3.5,2.2,4.4
TR90,15.3,9.6,19.7,3.5,2.2,4.4
TR90,15.3,9.6,19.7,3.5,2.2,4.4
TRA,13.6,7.8,16.4,3.5,2.2,4.4
TRA,13.6,7.8,16.4,5.5,1.5,7.3
TRA1,12.3,7.7,15.2,5.5,1.5,7.3
TRA1,12.3,7.7,15.2,4.1,1.7,5.2
TRA2,14.7,7.8,17.3,4.1,1.7,5.2
TRA2,14.7,7.8,17.3,7.2,1.3,9.7
TRB,24.4,21.4,25.4,7.2,1.3,9.7
