unit,geo\time	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
DE30	14639.7	14556.3	14561.9	15097.6	15393.9	15197.9	14936.3	14904.5	15099.6	15245.7	15741.6	16280.9
DE41	11392.5	11741.4	12051.0	12595.7	12990.0	13285.0	13269.2	13451.5	14006.9	14424.8	15140.8	15926.4
DE42	11831.6	12109.1	12366.1	12851.7	13359.2	13628.2	13681.8	13924.2	14499.8	14913.8	15647.6	16440.5
DE50	16700.2	17565.5	17983.6	18734.9	19587.3	19978.3	19483.1	19440.6	19351.0	20276.5	21151.9	21994.8
DE60	18981.1	19490.1	19953.3	20874.0	22089.8	22774.8	22995.8	23729.4	24371.6	25801.7	26209.9	27236.5
DE71	18401.7	18801.7	19251.5	20337.0	21378.5	21961.2	21980.3	22219.4	22488.8	22977.7	23929.7	24767.0
DE72	15061.3	15286.6	15697.7	16467.8	17086.5	17427.5	17548.4	17887.5	18254.3	18845.1	19756.7	20476.4
DE73	14220.0	14396.2	14626.5	15254.2	15799.1	16114.0	16315.2	16866.2	17244.9	17838.2	18687.2	19548.8
DE80	10626.3	10857.6	11097.8	11727.9	12173.6	12334.2	12259.4	12426.9	12843.4	13277.0	13766.4	14423.3
DE91	15008.9	15349.7	15654.6	16278.3	16819.6	16968.4	17232.2	17594.2	17781.8	18209.1	19035.4	19750.7
DE92	15884.7	16227.2	16533.3	17247.6	17895.1	18107.0	18022.6	18311.1	18609.3	19083.5	19915.4	20619.5
DE93	16314.0	16674.8	16910.7	17543.9	18216.6	18510.8	18236.5	18581.5	19059.0	19573.0	20398.5	21130.0
DE94	14279.4	14633.5	14877.8	15559.1	16228.1	16500.7	16284.6	16574.5	16922.4	17354.8	18058.8	18664.2
DEA1	17164.7	17680.9	18167.2	18867.9	19638.5	19971.8	19939.2	20129.1	20512.9	21157.3	21838.4	22596.4
DEA2	17159.0	17670.8	18129.7	18946.5	19842.0	20273.1	20224.2	20426.7	20850.1	21391.4	21963.8	22642.2
DEA3	15342.2	15839.5	16279.5	16902.7	17601.7	17954.5	17924.8	18133.6	18573.3	19123.9	19703.8	20345.9
DEA4	17181.2	17639.6	18053.0	18727.9	19480.1	19877.7	19635.9	19719.3	20046.3	20715.5	21415.5	22163.7
DEA5	15839.0	16279.3	16670.8	17321.1	18039.2	18394.4	18398.5	18654.9	19103.4	19786.0	20484.7	21246.9
DEB1	15208.3	15500.3	15798.1	16422.2	17156.7	17342.4	17498.5	17776.7	18151.6	18715.2	19502.8	20257.7
DEB2	13998.1	14314.3	14646.1	15283.5	16081.3	16461.5	16761.2	17261.5	17904.2	18568.2	19490.7	20316.4
DEB3	15821.5	16145.9	16541.5	17262.7	18168.3	18458.7	18661.6	18972.9	19418.8	19861.2	20588.9	21313.2
DEC0	13750.6	14110.7	14601.2	15578.9	16440.2	17067.1	16805.8	17187.0	17820.2	18467.0	19171.3	19980.5
DED1	10166.0	10412.9	10689.7	11311.2	11814.0	12106.2	12222.8	12451.9	12800.7	13057.7	13699.1	14385.9
