Gemeinde;Wahlberechtigte;A1;A2;A3;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;CDU;SPD;GRÜNE;FDP;Volksabstimmung;AUF;BIG;BüSo;DKP;DIE LINKE;REP;DIE VIOLETTEN;FAMILIE;NPD;ödp;PBC;Die PARTEI;PIRATEN;RSB;Einzelbewerber;
08126046 Künzelsau, Stadt;10832;9635;1197;0;6602;1131;84;6518;2770;1430;1216;576;;63;;;;202;39;;;109;;;;113;;;
08126047 Kupferzell;4288;3974;314;0;2832;299;31;2801;870;589;490;571;;41;;;;122;20;;;40;;;;58;;;
08126056 Mulfingen;2869;2720;149;0;2103;142;31;2072;1080;349;360;117;;20;;;;40;28;;;35;;;;43;;;
08126058 Neuenstein, Stadt;4688;4366;322;0;3133;311;43;3090;1097;751;639;255;;46;;;;106;47;;;67;;;;82;;;
08126060 Niedernhall, Stadt;2928;2629;299;0;1959;295;43;1916;658;508;394;160;;21;;;;66;12;;;40;;;;57;;;
08126066 Öhringen, Stadt;16722;15516;1206;0;9394;1159;170;9224;3600;2179;1966;623;;114;;;;299;107;;;119;;;;217;;;
08126069 Pfedelbach;6936;6414;522;0;4385;498;59;4326;1661;930;974;302;;45;;;;131;78;;;98;;;;107;;;
08126072 Schöntal;4479;4224;255;0;3372;243;72;3300;1822;556;510;143;;37;;;;65;66;;;42;;;;59;;;
08126085 Waldenburg, Stadt;2254;2032;222;0;1509;213;22;1487;489;360;402;108;;16;;;;37;15;;;27;;;;33;;;
08126086 Weißbach;1492;1383;109;0;859;102;17;842;307;239;143;69;;7;;;;27;8;;;11;;;;31;;;
08126094 Zweiflingen;1246;1171;75;0;879;66;16;863;381;141;189;64;;16;;;;29;24;;;8;;;;11;;;
08127008 Blaufelden;3913;3686;227;0;2488;215;35;2453;1036;529;438;183;;63;;;;93;23;;;38;;;;50;;;
08127009 Braunsbach;1928;1812;116;0;1378;107;22;1356;457;298;293;148;;22;;;;51;30;;;22;;;;35;;;
08127012 Bühlertann;2368;2259;109;0;1478;106;18;1460;618;322;274;112;;;;;;29;24;4;;27;21;;;29;;;
08127013 Bühlerzell;1597;1465;132;0;1102;127;13;1089;471;208;227;94;;;;;;27;16;4;;16;11;;;15;;;
08127014 Crailsheim, Stadt;24463;22955;1508;0;13201;1407;180;13021;5325;3234;2427;847;;;;;;336;150;89;;208;159;;;246;;;
08127023 Fichtenberg;2258;2066;192;0;1477;187;21;1456;491;369;298;89;;;;;;47;18;3;;16;93;;;32;;;
08127025 Gaildorf, Stadt;8516;7894;622;0;5132;598;86;5046;1894;1394;994;332;;;;;;127;66;13;;53;79;;;94;;;
08127032 Gerabronn, Stadt;3352;3134;218;0;2008;208;29;1979;630;518;488;126;;18;;;;83;21;;;51;;;;44;;;
08127043 Ilshofen, Stadt;4486;4192;294;0;2887;282;46;2841;1028;666;611;280;;;;;;78;20;6;;42;60;;;50;;;
08127046 Kirchberg an der Jagst, Stadt;3163;2881;282;0;2122;266;24;2098;585;420;644;232;;;;;;77;15;18;;32;23;;;52;;;
08127047 Langenburg, Stadt;1400;1259;141;0;1016;135;12;1004;327;270;213;79;;37;;;;31;4;;;20;;;;23;;;
08127052 Mainhardt;4413;4052;361;0;2872;319;49;2823;1029;562;654;270;;;;;;91;49;9;;58;41;;;60;;;
08127056 Michelbach an der Bilz;2665;2435;230;0;1909;222;18;1891;579;600;441;125;;;;;;46;20;7;;17;16;;;40;;;
08127059 Michelfeld;2885;2662;223;0;2038;218;16;2022;715;521;441;173;;;;;;50;22;5;;28;21;;;46;;;
08127062 Oberrot;2632;2426;206;0;1612;194;17;1595;571;352;358;162;;;;;;43;11;5;;23;44;;;26;;;
08127063 Obersontheim;3618;3387;231;0;2220;224;38;2182;833;555;392;197;;;;;;52;32;5;;44;33;;;39;;;
08127071 Rot am See;4030;3801;229;0;2552;214;36;2516;890;479;453;484;;;;;;57;17;28;;26;40;;;42;;;
08127073 Satteldorf;4020;3740;280;0;2439;271;26;2413;847;575;532;205;;;;;;69;25;4;;29;65;;;62;;;
08127075 Schrozberg, Stadt;4482;4231;251;0;2683;238;46;2637;1086;563;463;241;;54;;;;79;24;;;76;;;;51;;;
08127076 Schwäbisch Hall, Stadt;27164;24768;2396;0;17329;2280;183;17146;5132;4937;4576;1150;;;;;;577;134;74;;139;145;;;282;;;
08127079 Sulzbach-Laufen;1932;1818;114;0;1259;111;23;1236;392;291;246;222;;;;;;19;19;2;;14;7;;;24;;;
08127086 Untermünkheim;2300;2118;182;0;1584;175;14;1570;534;376;363;147;;64;;;;35;8;;;17;;;;26;;;
08127089 Vellberg, Stadt;3147;2906;241;0;2156;232;19;2137;658;610;467;229;;;;;;52;22;3;;29;29;;;38;;;
08127091 Wallhausen;2674;2564;110;0;1572;105;27;1545;515;361;290;220;;;;;;41;17;20;;18;25;;;38;;;
08127099 Wolpertshausen;1481;1341;140;0;1003;128;10;993;316;192;278;104;;;;;;26;12;4;;23;15;;;23;;;
08127100 Rosengarten;3855;3508;347;0;2647;298;30;2617;817;729;662;193;;;;;;65;30;10;;20;38;;;53;;;
08127101 Kreßberg;2970;2834;136;0;1820;127;33;1787;739;366;361;110;;;;;;39;19;7;;33;73;;;40;;;
08127102 Fichtenau;3482;3275;207;0;1870;193;31;1839;759;381;285;163;;;;;;72;34;5;;55;40;;;45;;;
08127103 Frankenhardt;3692;3510;182;0;2398;174;49;2349;854;538;467;214;;;;;;65;39;4;;45;70;;;53;;;
08127104 Stimpfach;2277;2120;157;0;1456;149;31;1425;712;276;201;106;;;;;;40;24;4;;17;25;;;20;;;
08128006 Assamstadt;1634;1528;106;0;1228;104;13;1215;728;154;167;24;;;;;;37;23;;20;16;17;;;29;;;
08128007 Bad Mergentheim, Stadt;17141;15350;1791;0;11666;1684;149;11517;5685;2184;2177;543;;;;;;265;177;;114;118;98;;;156;;;
08128014 Boxberg, Stadt;5456;5200;256;0;3421;242;68;3353;1256;789;664;200;;;;;;99;87;;66;41;68;;;83;;;
08128020 Creglingen, Stadt;3743;3502;241;0;2562;232;20;2542;1101;475;549;186;;;;;;48;23;;26;60;38;;;36;;;
08128039 Freudenberg, Stadt;2988;2777;211;0;1901;196;35;1866;1017;343;318;66;;;;;;28;24;;22;7;15;;;26;;;
08128045 Großrinderfeld;3233;3036;197;0;2005;187;28;1977;952;387;323;81;;;;;;49;69;;26;25;28;;;37;;;
08128047 Grünsfeld, Stadt;2966;2809;157;0;2039;152;35;2004;961;377;342;76;;;;;;42;57;;33;34;50;;;32;;;
08128058 Igersheim;4486;4103;383;0;3004;362;35;2969;1474;532;559;121;;;;;;73;54;;30;29;44;;;53;;;
08128061 Königheim;2537;2340;197;0;1837;189;20;1817;1118;256;254;46;;;;;;30;32;;17;10;27;;;27;;;
08128064 Külsheim, Stadt;4257;3976;281;0;2937;275;32;2905;1657;426;461;98;;;;;;102;39;;40;21;32;;;29;;;
08128082 Niederstetten, Stadt;3961;3658;303;0;2573;292;49;2524;1157;490;439;163;;;;;;47;21;;34;61;32;;;80;;;
08128115 Tauberbischofsheim, Stadt;10222;9172;1050;0;6648;983;96;6552;3223;1114;1247;288;;;;;;193;91;;59;52;163;;;122;;;
08128126 Weikersheim, Stadt;5891;5399;492;0;3939;476;37;3902;1831;735;855;162;;;;;;99;60;;38;48;31;;;43;;;
08128128 Werbach;2760;2559;201;0;1886;191;21;1865;782;402;339;127;;;;;;65;33;;19;32;39;;;27;;;
08128131 Wertheim, Stadt;17638;16283;1355;0;10879;1282;219;10660;4653;2674;2033;411;;;;;;250;147;;120;86;157;;;129;;;
08128137 Wittighausen;1349;1279;70;0;929;69;13;916;498;139;159;42;;;;;;15;16;;11;6;13;;;17;;;
08128138 Ahorn;1820;1749;71;0;1308;64;18;1290;608;283;223;47;;;;;;38;22;;23;11;14;;;21;;;
08128139 Lauda-Königshofen, Stadt;11467;10502;965;0;7253;891;102;7151;3251;1516;1227;267;;;;;;212;178;;110;62;143;;;185;;;
08135010 Dischingen;3426;3152;274;0;2497;266;33;2464;1433;403;252;40;;;2;;0;53;86;;;26;142;;;27;;;
08135015 Gerstetten;8817;7907;910;0;5812;870;71;5741;2281;1464;1009;228;;;7;;2;133;112;;;77;277;;;151;;;
08135016 Giengen an der Brenz, Stadt;13395;12210;1185;0;7698;1100;98;7600;2790;2512;1282;199;;;29;;9;295;144;;;79;86;;;175;;;
08135019 Heidenheim an der Brenz, Stadt;33676;30248;3428;0;19930;3218;286;19644;6586;6389;3860;620;;;64;;63;930;250;;;129;197;;;556;;;
08135020 Herbrechtingen, Stadt;9783;8992;791;0;6303;699;114;6189;2278;1834;1204;221;;;14;;11;192;123;;;68;79;;;165;;;
08135021 Hermaringen;1743;1527;216;0;1242;199;10;1232;452;389;249;42;;;3;;3;31;14;;;11;14;;;24;;;
08135025 Königsbronn;5586;4937;649;0;3787;615;35;3752;1263;1311;689;104;;;14;;5;129;55;;;33;48;;;101;;;
08135026 Nattheim;4848;4492;356;0;3182;333;31;3151;1176;943;616;60;;;2;;3;112;86;;;36;42;;;75;;;
08135027 Niederstotzingen, Stadt;3530;3250;280;0;2282;259;35;2247;1111;462;341;84;;;9;;7;48;49;;;27;37;;;72;;;
08135031 Sontheim an der Brenz;4058;3670;388;0;2853;373;31;2822;1204;747;469;82;;;22;;0;65;56;;;31;92;;;54;;;
08135032 Steinheim am Albuch;6721;6138;583;0;4554;561;38;4516;1887;1233;788;135;;;4;;2;142;58;;;41;89;;;137;;;
08136002 Abtsgmünd;5755;5260;495;0;3792;478;67;3725;1573;973;676;157;;;;;;113;64;;;46;20;22;12;69;;;
08136003 Adelmannsfelden;1377;1260;117;0;971;116;19;952;426;226;181;31;;;;;;31;26;;;10;8;;;13;;;
08136007 Bartholomä;1656;1494;162;0;1158;157;20;1138;483;327;191;38;;;;;;32;19;;;16;4;2;9;17;;;
08136009 Böbingen an der Rems;3477;3154;323;0;2395;302;33;2362;1029;574;455;78;;;;;;70;34;;;16;17;27;16;46;;;
08136010 Bopfingen, Stadt;9089;8381;708;0;4964;653;97;4867;2288;1152;696;191;;;;;;224;143;;;49;44;;;80;;;
08136015 Durlangen;2035;1885;150;0;1515;141;27;1488;697;286;248;64;;;;;;61;49;;;25;11;11;11;25;;;
08136018 Ellenberg;1324;1246;78;0;912;78;22;890;526;118;131;32;;;;;;27;21;;;11;11;;;13;;;
08136019 Ellwangen (Jagst), Stadt;18113;15609;2504;0;11893;2283;181;11712;6323;1969;2210;405;;;;;;391;123;;;75;78;;;138;;;
08136020 Eschach;1386;1294;92;0;904;0;16;888;385;194;165;61;;;;;;18;11;;;9;12;6;7;20;;;
08136021 Essingen;4921;4392;529;0;3266;492;111;3155;1315;869;574;110;;;;;;98;59;;;36;17;18;11;48;;;
08136024 Göggingen;1872;1720;152;0;1206;139;16;1190;560;242;201;63;;;;;;32;29;;;24;2;8;6;23;;;
08136027 Gschwend;3844;3528;316;0;2529;303;52;2477;1020;571;530;108;;;;;;69;41;;;38;34;16;11;39;;;
08136028 Heubach, Stadt;7137;6356;781;0;4629;750;49;4580;1699;1545;765;160;;;;;;145;43;;;55;29;41;19;79;;;
08136029 Heuchlingen;1470;1321;149;0;1005;145;23;982;539;189;143;44;;;;;;25;14;;;7;5;5;1;10;;;
08136033 Hüttlingen;4551;4058;493;0;3143;476;42;3101;1351;763;595;115;;;;;;137;32;;;32;28;;;48;;;
08136034 Iggingen;1982;1774;208;0;1399;200;28;1371;709;302;185;37;;;;;;37;34;;;16;8;7;16;20;;;
08136035 Jagstzell;1808;1651;157;0;1282;150;22;1260;662;223;221;38;;;;;;47;15;;;16;10;;;28;;;
08136037 Kirchheim am Ries;1430;1320;110;0;970;107;16;954;515;181;159;33;;;;;;15;24;;;7;12;;;8;;;
08136038 Lauchheim, Stadt;3625;3288;337;0;2391;323;27;2364;1129;483;438;67;;;;;;115;46;;;21;27;;;38;;;
08136040 Leinzell;1600;1368;232;0;1041;222;17;1024;399;287;189;42;;;;;;41;27;;;10;3;6;15;5;;;
08136042 Lorch, Stadt;7918;6953;965;0;5642;933;60;5582;2398;1304;1138;234;;;;;;139;95;;;77;30;45;22;100;;;
08136043 Mögglingen;3185;2851;334;0;2156;318;36;2120;937;504;391;90;;;;;;57;31;;;18;17;21;4;50;;;
08136044 Mutlangen;4778;4226;552;0;3232;531;46;3186;1338;769;658;152;;;;;;77;50;;;41;18;16;11;56;;;
08136045 Neresheim, Stadt;6100;5609;491;0;4049;462;54;3995;2069;802;543;136;;;;;;101;221;;;18;36;;;69;;;
08136046 Neuler;2440;2230;210;0;1823;203;38;1785;1075;231;304;46;;;;;;45;21;;;15;19;;;29;;;
08136049 Obergröningen;343;328;15;0;217;0;4;213;96;46;43;8;;;;;;4;4;;;4;4;1;1;2;;;
08136050 Oberkochen, Stadt;5905;5304;601;0;3818;573;55;3763;1369;1139;775;117;;;;;;191;49;;;25;36;;;62;;;
08136060 Rosenberg;2060;1877;183;0;1491;176;23;1468;753;248;270;63;;;;;;35;37;;;23;13;;;26;;;
08136061 Ruppertshofen;1399;1317;82;0;867;80;17;850;341;196;164;39;;;;;;20;32;;;19;12;8;5;14;;;
08136062 Schechingen;1845;1690;155;0;1166;145;20;1146;618;241;165;27;;;;;;22;23;;;10;8;6;10;16;;;
08136065 Schwäbisch Gmünd, Stadt;41817;36839;4978;0;26557;4677;338;26219;11563;6324;5149;954;;;;;;825;344;;;240;120;150;160;390;;;
08136066 Spraitbach;2658;2443;215;0;1715;202;27;1688;785;381;290;45;;;;;;54;38;;;20;7;9;17;42;;;
08136068 Stödtlen;1482;1354;128;0;973;119;16;957;546;179;125;24;;;;;;31;23;;;15;6;;;8;;;
08136070 Täferrot;796;748;48;0;533;46;13;520;221;97;97;34;;;;;;16;27;;;9;1;4;3;11;;;
08136071 Tannhausen;1438;1329;109;0;915;106;12;903;609;105;99;17;;;;;;32;13;;;3;8;;;17;;;
08136075 Unterschneidheim;3527;3402;125;0;2483;119;48;2435;1589;334;294;68;;;;;;53;34;;;29;10;;;24;;;
08136079 Waldstetten;5546;4845;701;0;4135;664;53;4082;2044;821;775;172;;;;;;77;32;;;48;19;13;17;64;;;
08136082 Westhausen;4551;4193;358;0;3114;350;37;3077;1517;651;490;100;;;;;;162;36;;;48;31;;;42;;;
08136084 Wört;1060;980;80;0;633;79;16;617;358;96;95;20;;;;;;21;5;;;6;3;;;13;;;
08136087 Riesbürg;1736;1633;103;0;1057;100;14;1043;571;211;150;18;;;;;;33;20;;;11;16;;;13;;;
08136088 Aalen, Stadt;48106;43135;4971;0;31184;4704;429;30755;11774;8256;6394;1087;;;;;;1731;429;;;303;259;;;522;;;
08136089 Rainau;2513;2361;152;0;1812;149;23;1789;1030;273;286;40;;;;;;83;26;;;14;8;;;29;;;
08136991 Briefwahl für mehrere Gemeinden;;;;;99;99;0;99;42;26;17;6;;;;;;4;0;;;0;2;2;0;0;;;
08211000 Baden-Baden, Stadt;39458;33329;6129;0;24968;5755;372;24596;9755;4974;6497;1779;;266;;;;635;143;;;175;;;;372;;;
08212000 Karlsruhe, Stadt;202713;174893;27802;18;129257;26300;1596;127661;39172;32058;38568;6478;;;301;;;4310;671;;;928;806;;;4369;;;
08215007 Bretten, Stadt;19594;17457;2137;0;12953;2027;211;12742;5377;2802;2844;596;;87;;;;321;139;;;204;81;;;291;;;
08215009 Bruchsal, Stadt;30908;27834;3074;0;19545;2902;339;19206;8050;4401;3840;1308;;;;;;493;237;;;219;124;;;534;;;
08215017 Ettlingen, Stadt;29078;25167;3911;0;20228;3715;280;19948;8522;4595;4485;1068;;;;;;514;117;;;120;131;;;396;;;
08215021 Forst;5800;4895;905;0;4001;861;67;3934;1814;910;698;218;;;;;;67;49;;;56;37;;;85;;;
08215025 Gondelsheim;2485;2166;319;0;1679;305;31;1648;723;352;316;82;;10;;;;54;17;;;25;14;;;55;;;
08215029 Hambrücken;4217;3528;689;0;2995;675;51;2944;1522;660;444;88;;;;;;45;63;;;39;23;;;60;;;
08215039 Kronau;4340;3806;534;0;3032;522;48;2984;1528;645;439;90;;;;;;73;59;;;42;24;;;84;;;
08215040 Kürnbach;1733;1574;159;0;1191;149;17;1174;489;270;258;66;;16;;;;20;15;;;11;5;;;24;;;
08215046 Malsch;10869;9715;1154;0;7174;1097;123;7051;2804;1760;1671;276;;;;;;210;68;;;51;50;;;161;;;
08215047 Marxzell;4121;3603;518;0;2816;485;50;2766;1405;524;552;143;;;;;;41;12;;;21;14;;;54;;;
08215059 Oberderdingen;6945;6110;835;0;4633;790;56;4577;2108;870;1001;227;;30;;;;87;53;;;65;41;;;95;;;
08215064 Östringen, Stadt;9562;7881;1681;0;7091;1511;154;6937;3293;1752;1101;219;;;;;;159;107;;;98;35;;;173;;;
08215066 Philippsburg, Stadt;8508;7732;776;0;4917;733;111;4806;2242;1186;739;151;;;;;;141;129;;;51;37;;;130;;;
08215082 Sulzfeld;3384;3024;360;0;2304;348;35;2269;864;700;419;89;;26;;;;42;37;;;37;10;;;45;;;
08215084 Ubstadt-Weiher;9964;8607;1357;0;6974;1309;112;6862;3322;1577;1240;227;;;;;;148;88;;;67;44;;;149;;;
08215089 Walzbachtal;7041;6050;991;0;4895;953;75;4820;2021;1172;984;208;;33;;;;109;41;;;57;30;;;165;;;
08215090 Weingarten (Baden);7404;6493;911;0;5160;880;73;5087;1777;1389;1252;289;;82;;;;84;41;;;30;21;;;122;;;
08215094 Zaisenhausen;1225;1128;97;0;783;91;17;766;344;165;143;37;;5;;;;12;11;;;21;5;;;23;;;
08215096 Karlsbad;12141;10729;1412;0;8526;1341;126;8400;3179;2295;1888;434;;;;;;186;69;;;76;79;;;194;;;
08215097 Kraichtal, Stadt;10937;9964;973;0;7218;918;124;7094;2919;1703;1522;322;;75;;;;139;104;;;100;47;;;163;;;
08215099 Graben-Neudorf;8833;8049;784;0;5338;763;105;5233;2313;1218;957;268;;46;;;;107;87;;;48;31;;;158;;;
08215100 Bad Schönborn;8804;7530;1274;0;5867;1218;72;5795;2771;1292;1191;135;;;;;;138;52;;;47;31;;;138;;;
08215101 Pfinztal;13522;11788;1734;0;9468;1654;122;9346;3466;2741;2095;396;;;;;;190;72;;;72;73;;;241;;;
08215102 Eggenstein-Leopoldshafen;12173;10690;1483;0;8055;1398;110;7945;3058;2066;1650;574;;41;;;;164;64;;;59;63;;;206;;;
08215103 Karlsdorf-Neuthard;7483;6481;1002;0;5079;965;98;4981;2485;1030;821;200;;;;;;127;81;;;51;50;;;136;;;
08215105 Linkenheim-Hochstetten;8840;7926;914;0;5857;877;77;5780;2196;1526;1235;308;;50;;;;125;85;;;50;51;;;154;;;
08215106 Waghäusel, Stadt;15621;13998;1623;0;9948;1555;173;9775;3311;4102;1421;204;;;;;;199;153;;;81;68;;;236;;;
08215107 Oberhausen-Rheinhausen;7553;6710;843;0;4705;793;126;4579;1931;1090;915;140;;;;;;112;131;;;40;55;;;165;;;
08215108 Rheinstetten, Stadt;16190;14749;1441;0;10524;1354;191;10333;3995;2755;2412;442;;;;;;266;74;;;87;72;;;230;;;
08215109 Stutensee, Stadt;17336;15083;2253;0;11921;2154;150;11771;4421;2844;2743;698;;119;;;;279;145;;;102;87;;;333;;;
08215110 Waldbronn;9484;8059;1425;0;7011;1369;111;6900;3158;1562;1410;349;;;;;;134;59;;;43;57;;;128;;;
08215111 Dettenheim;5223;4627;596;0;3355;559;47;3308;1380;832;613;138;;26;;;;60;47;;;37;18;;;157;;;
08216002 Au am Rhein;2624;2460;164;0;1706;158;34;1672;628;517;336;76;;13;;;;23;16;;;17;;;;46;;;
08216005 Bietigheim;4691;4329;362;0;3085;343;36;3049;809;1441;491;94;;23;;;;63;34;;;24;;;;70;;;
08216006 Bischweier;2312;2034;278;0;1584;257;34;1550;620;464;311;54;;16;;;;26;29;;;5;;;;25;;;
08216007 Bühl, Stadt;21357;18978;2379;0;13679;2228;211;13468;6274;2544;3184;577;;119;;;;312;109;;;99;;;;250;;;
08216008 Bühlertal;6266;5483;783;0;3949;748;46;3903;1849;722;839;188;;63;;;;84;40;;;44;;;;74;;;
08216009 Durmersheim;9125;8291;834;0;5444;801;136;5308;1764;1643;1171;259;;53;;;;155;57;;;61;;;;145;;;
08216012 Elchesheim-Illingen;2545;2328;217;0;1731;204;37;1694;570;643;300;56;;7;;;;46;26;;;13;;;;33;;;
08216013 Forbach;3850;3421;429;0;2558;412;58;2500;1180;647;392;81;;35;;;;52;33;;;34;;;;46;;;
08216015 Gaggenau, Stadt;20986;18335;2651;0;13410;2531;234;13176;5064;3695;2935;583;;138;;;;307;92;;;125;;;;237;;;
08216017 Gernsbach, Stadt;10710;9516;1194;0;6720;1128;115;6605;2558;1752;1529;290;;54;;;;175;52;;;67;;;;128;;;
08216022 Hügelsheim;3440;3236;204;0;1614;191;37;1577;681;340;330;62;;13;;;;68;23;;;26;;;;34;;;
08216023 Iffezheim;3742;3409;333;0;2463;312;53;2410;982;621;498;106;;20;;;;44;31;;;31;;;;77;;;
08216024 Kuppenheim, Stadt;5803;5134;669;0;3791;642;80;3711;1482;1031;749;161;;40;;;;93;45;;;39;;;;71;;;
08216028 Lichtenau, Stadt;3659;3407;252;0;2264;237;33;2231;845;522;582;82;;34;;;;55;27;;;36;;;;48;;;
08216029 Loffenau;2009;1857;152;0;1224;141;34;1190;468;339;235;61;;14;;;;20;13;;;16;;;;24;;;
08216033 Muggensturm;4715;4224;491;0;3094;468;61;3033;1059;1024;621;108;;32;;;;49;32;;;34;;;;74;;;
08216039 Ötigheim;3496;3234;262;0;2268;248;42;2226;879;709;424;75;;21;;;;28;21;;;23;;;;46;;;
08216041 Ottersweier;4787;4342;445;0;3058;427;38;3020;1592;474;626;122;;42;;;;55;25;;;19;;;;65;;;
08216043 Rastatt, Stadt;34067;31496;2571;0;17521;2414;341;17180;6720;5160;3128;714;;190;;;;508;218;;;150;;;;392;;;
08216049 Sinzheim;8512;7476;1036;0;5757;947;95;5662;2467;1085;1444;318;;57;;;;91;44;;;41;;;;115;;;
08216052 Steinmauern;2245;2079;166;0;1385;158;18;1367;560;381;284;50;;22;;;;16;17;;;7;;;;30;;;
08216059 Weisenbach;1921;1726;195;0;1290;188;31;1259;598;277;238;49;;5;;;;25;10;;;17;;;;40;;;
08216063 Rheinmünster;5108;4726;382;0;2941;359;44;2897;1330;602;588;120;;36;;;;68;31;;;49;;;;73;;;
08221000 Heidelberg, Stadt;94856;79035;15821;0;63705;14983;529;63176;17720;14448;23179;3364;;;;;;2173;409;;;;460;;;1423;;;
08222000 Mannheim, Universitätsstadt;197064;169692;27372;;113192;25530;1720;111472;31073;34147;28958;4377;;;277;;;5185;1103;;;1369;449;;;2622;104;1808;
08225001 Adelsheim, Stadt;3761;3524;237;0;2300;230;27;2273;1226;515;314;62;;;;;;55;22;;;19;22;;;38;;;
08225002 Aglasterhausen;3695;3384;311;0;2408;297;45;2363;939;652;504;80;;;;;;48;30;;;27;28;;;55;;;
08225009 Billigheim;4474;4211;263;0;2932;250;54;2878;1506;717;354;68;;;;;;64;59;;;37;17;;;56;;;
08225010 Binau;1083;893;190;0;753;185;7;746;308;265;99;28;;;;;;16;10;;;3;5;;;12;;;
08225014 Buchen (Odenwald), Stadt;13859;12630;1229;0;8231;1142;144;8087;4435;1703;1145;261;;;;;;171;94;;;58;84;;;136;;;
08225024 Fahrenbach;2222;2045;177;0;1490;165;28;1462;746;367;188;46;;;;;;31;28;;;26;14;;;16;;;
08225032 Hardheim;5410;4814;596;0;3302;570;96;3206;1936;526;388;84;;;;;;68;58;;;40;42;;;64;;;
08225033 Haßmersheim;3568;3155;413;0;2341;392;45;2296;933;715;330;118;;;;;;73;31;;;37;19;;;40;;;
08225039 Höpfingen;2462;2209;253;0;1516;241;37;1479;846;303;172;29;;;;;;44;34;;;16;18;;;17;;;
08225042 Hüffenhardt;1650;1523;127;0;1071;118;17;1054;434;332;149;46;;;;;;20;17;;;13;13;;;30;;;
08225052 Limbach;3596;3315;281;0;2415;271;33;2382;1273;536;309;73;;;;;;75;23;;;23;28;;;42;;;
08225058 Mosbach, Stadt;17374;15574;1800;0;10682;1675;154;10528;4354;3399;1628;361;;;;;;269;110;;;100;104;;;203;;;
08225060 Mudau;3978;3692;286;0;2648;271;59;2589;1545;417;379;78;;;;;;45;31;;;26;31;;;37;;;
08225064 Neckargerach;1789;1511;278;0;1208;269;12;1196;476;414;182;34;;;;;;31;17;;;17;9;;;16;;;
08225067 Neckarzimmern;1094;1000;94;0;648;93;9;639;260;221;90;23;;;;;;16;5;;;6;6;;;12;;;
08225068 Neunkirchen;1443;1309;134;0;983;128;12;971;383;272;188;33;;;;;;36;12;;;14;10;;;23;;;
08225074 Obrigheim;3838;3400;437;1;2517;428;46;2471;1071;716;376;91;;;;;;71;41;;;27;29;;;49;;;
08225075 Osterburken, Stadt;4928;4482;446;0;2713;417;29;2684;1414;580;407;84;;;;;;63;42;;;33;24;;;37;;;
08225082 Rosenberg;1661;1543;118;0;1085;114;20;1065;503;261;165;39;;;;;;30;22;;;9;15;;;21;;;
08225091 Seckach;3155;2986;169;0;1875;155;27;1848;889;477;289;42;;;;;;40;31;;;26;23;;;31;;;
08225109 Walldürn, Stadt;8960;8071;889;0;5387;835;119;5268;2734;1318;649;160;;;;;;126;96;;;66;40;;;79;;;
08225113 Zwingenberg;596;498;98;0;438;95;8;430;131;161;86;12;;;;;;13;8;;;8;1;;;10;;;
08225114 Ravenstein, Stadt;2312;2197;115;0;1703;112;26;1677;979;282;202;58;;;;;;27;30;;;32;22;;;45;;;
08225115 Schefflenz;3203;3030;173;0;2097;161;41;2056;929;593;303;58;;;;;;39;28;;;37;28;;;41;;;
08225116 Schwarzach;2063;1891;172;0;1115;159;13;1102;464;267;233;44;;;;;;28;11;;;13;18;;;24;;;
08225117 Elztal;4700;4272;428;0;3193;405;50;3143;1376;913;424;200;;;;;;70;45;;;47;27;;;41;;;
08225118 Waldbrunn;3838;3444;394;0;2564;381;46;2518;1040;807;422;82;;;;;;77;27;;;19;9;;;35;;;
08226003 Altlußheim;4137;3570;567;0;2684;540;74;2610;805;906;518;99;;;;;;118;38;;;20;28;;;78;;;
08226006 Bammental;4744;4091;653;0;3416;629;37;3379;1175;827;991;144;;;;;;97;35;;;19;26;;;65;;;
08226009 Brühl;11019;9774;1245;0;6967;1172;103;6864;2602;1936;1481;227;;;;;;224;76;;;62;67;;;189;;;
08226010 Dielheim;6765;6117;648;0;4607;600;78;4529;2190;738;983;153;;;4;;;117;67;;;68;38;;;151;;20;
08226012 Dossenheim;8911;7621;1290;0;6592;1240;71;6521;2247;1383;2138;352;;;;;;137;23;;;38;40;;;163;;;
08226013 Eberbach, Stadt;10883;9723;1160;0;6633;1090;108;6525;2177;1981;1571;296;;;;;;225;70;;;62;64;;;79;;;
08226017 Epfenbach;1911;1714;197;0;1326;191;24;1302;504;449;208;39;;;;;;33;14;;;15;13;;;27;;;
08226018 Eppelheim, Stadt;10449;9127;1322;0;6834;1244;98;6736;2074;2037;1795;250;;;;;;253;57;;;45;42;;;183;;;
08226020 Eschelbronn;1903;1748;155;0;1234;151;24;1210;488;316;218;49;;;;;;36;26;;;30;14;;;33;;;
08226022 Gaiberg;1768;1497;271;0;1310;265;35;1275;457;317;342;80;;;;;;32;4;;;8;14;;;21;;;
08226027 Heddesbach;383;363;20;0;235;0;7;228;124;41;41;9;;;;;;7;0;;;1;2;;;3;;;
08226028 Heddesheim;8903;7599;1304;0;5844;1257;89;5755;1928;1712;1378;276;;;;;;169;53;;;66;50;;;123;;;
08226029 Heiligkreuzsteinach;2145;1933;212;0;1402;204;27;1375;513;384;287;74;;;;;;49;20;;;18;12;;;18;;;
