Gemeinde;Wahlberechtigte;A1;A2;A3;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;CDU;SPD;GRÜNE;FDP;Volksabstimmung;AUF;BIG;BüSo;DKP;DIE LINKE;REP;DIE VIOLETTEN;FAMILIE;NPD;ödp;PBC;Die PARTEI;PIRATEN;RSB;Einzelbewerber;
08117030 Heiningen;3915;3486;429;0;2793;416;34;2759;1057;739;649;103;;;;;;66;29;;;44;28;;;44;;;
08117031 Hohenstadt;560;516;44;0;351;0;6;345;181;51;52;28;;;;;;12;3;;;8;5;;;5;;;
08117033 Kuchen;4174;3720;454;0;2793;435;42;2751;1017;813;607;107;;;;;;81;28;;;32;17;;;49;;;
08117035 Mühlhausen im Täle;768;699;69;0;525;63;7;518;201;97;148;23;;;;;;8;8;;;11;7;;;15;;;
08117037 Ottenbach;1870;1701;169;0;1388;167;23;1365;699;262;260;60;;;;;;27;14;;;17;10;;;16;;;
08117038 Rechberghausen;4196;3585;611;0;2917;576;41;2876;1155;751;618;106;;;;;;66;41;;;32;27;;;80;;;
08117042 Salach;5426;4911;515;0;3527;501;43;3484;1514;929;622;147;;;;;;86;34;;;48;31;;;73;;;
08117043 Schlat;1312;1158;154;0;1027;145;14;1013;449;221;205;83;;;;;;11;9;;;6;9;;;20;;;
08117044 Schlierbach;2700;2391;309;0;1929;294;20;1909;848;417;388;93;;;;;;36;54;;;16;17;;;40;;;
08117049 Süßen, Stadt;6781;6085;696;0;4496;677;33;4463;1672;1212;925;298;;;;;;134;54;;;67;30;;;71;;;
08117051 Uhingen, Stadt;9892;9089;803;0;6642;774;98;6544;2437;1808;1409;282;;;;;;205;117;;;72;51;;;163;;;
08117053 Wäschenbeuren;2993;2688;305;0;2189;289;22;2167;938;496;452;102;;;;;;55;23;;;31;18;;;52;;;
08117055 Wangen;2482;2197;285;0;1894;268;24;1870;674;524;424;114;;;;;;46;21;;;16;14;;;37;;;
08117058 Wiesensteig;1574;1363;211;0;850;0;9;841;403;165;181;21;;;;;;19;7;;;10;11;;;24;;;
08117060 Zell unter Aichelberg;2352;2003;349;0;1797;335;18;1779;738;371;400;129;;;;;;45;32;;;22;13;;;29;;;
08117061 Lauterstein, Stadt;2016;1746;270;0;1418;266;24;1394;621;340;218;90;;;;;;58;14;;;14;5;;;34;;;
08117991 Briefwahl für mehrere Gemeinden;;;;;262;262;6;256;128;40;53;13;;;;;;8;0;;;3;7;;;4;;;
08118001 Affalterbach;3389;2920;469;0;2592;449;39;2553;1092;580;559;135;;;;;;48;34;;;42;18;;;45;;;
08118003 Asperg, Stadt;8880;7645;1233;2;6613;1207;78;6535;2395;1425;1873;379;;;10;;;174;59;;;46;32;30;;112;;;
08118006 Benningen am Neckar;4348;3775;573;0;3315;556;33;3282;1196;846;847;167;;;;;;80;41;;;21;29;;;55;;;
08118007 Besigheim, Stadt;8424;7472;952;0;6186;908;86;6100;2271;1359;1699;320;;;;;;154;101;;;30;41;;;125;;;
08118010 Bönnigheim, Stadt;4915;4307;608;0;3506;554;46;3460;1260;838;892;187;;39;;;;75;48;;;28;23;;;70;;;
08118011 Ditzingen, Stadt;16651;14208;2443;0;12719;2362;119;12600;4943;2804;3339;654;;117;;;;241;99;;;77;70;;;256;;;
08118012 Eberdingen;4629;4020;609;0;3525;586;43;3482;1388;743;810;221;;28;;;;89;58;;;49;22;;;74;;;
08118014 Erdmannhausen;3554;3149;405;0;2658;385;26;2632;984;635;730;96;;;;;;52;50;;;25;18;;;42;;;
08118015 Erligheim;1978;1748;230;0;1416;223;20;1396;562;316;315;79;;;;;;38;31;;;14;10;;;31;;;
08118016 Freudental;1758;1521;237;0;1335;234;23;1312;426;350;366;65;;;;;;27;23;;;10;13;;;32;;;
08118018 Gemmrigheim;2591;2299;292;0;1791;277;24;1767;779;357;335;165;;;;;;29;42;;;13;10;;;37;;;
08118019 Gerlingen, Stadt;13529;11060;2469;0;10605;2391;111;10494;4067;2116;2891;824;;42;;;;203;81;;;51;59;;;160;;;
08118021 Großbottwar, Stadt;5733;4987;746;0;4234;701;42;4192;1851;909;883;215;;;;;;101;86;;;22;45;;;80;;;
08118027 Hemmingen;5309;4635;674;0;3868;654;33;3835;1484;1045;797;204;;50;;;;92;35;;;25;13;;;90;;;
08118028 Hessigheim;1619;1466;153;0;1203;145;13;1190;583;198;225;64;;;;;;29;47;;;6;21;;;17;;;
08118040 Kirchheim am Neckar;3259;2800;459;0;2231;440;19;2212;777;526;599;118;;;;;;57;37;;;31;28;;;39;;;
08118046 Kornwestheim, Stadt;20582;17998;2584;0;14143;2464;163;13980;5068;3669;3298;675;;;58;;;483;199;;;104;78;33;;315;;;
08118047 Löchgau;3954;3459;495;0;2979;470;38;2941;1035;800;756;159;;;;;;54;49;;;18;15;;;55;;;
08118048 Ludwigsburg, Stadt;57544;50469;7073;2;38785;6717;378;38407;12716;8963;11239;2144;;;171;;;1239;552;;;334;217;107;;725;;;
08118049 Marbach am Neckar, Stadt;10762;9545;1217;0;8026;1162;100;7926;2713;1889;2304;372;;;;;;222;130;;;61;79;;;156;;;
08118050 Markgröningen, Stadt;9602;8370;1232;0;6932;1170;93;6839;2540;1631;1699;389;;43;;;;162;73;;;80;52;;;170;;;
08118051 Möglingen;7395;6370;1025;0;5280;984;66;5214;1906;1401;1155;292;;;25;;;160;71;;;49;40;21;;94;;;
08118053 Mundelsheim;2407;2103;304;0;1810;295;15;1795;819;376;330;131;;;;;;45;46;;;9;15;;;24;;;
08118054 Murr;4479;3900;579;0;3388;568;28;3360;1568;725;692;109;;;;;;91;69;;;23;24;;;59;;;
08118059 Oberriexingen, Stadt;2388;2085;303;0;1829;296;17;1812;647;412;472;121;;18;;;;39;15;;;26;20;;;42;;;
08118060 Oberstenfeld;5543;4888;653;2;4160;620;38;4122;1864;886;833;215;;;;;;90;70;;;40;32;;;92;;;
