nuts-id	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
DE30	12709.6	12740.4	12689.6	13264.9	13420.5	13476.7	13484.7	13771.0	14032.2	14446.6	14830.0	15048.8
DE41	10916.9	11294.5	11525.9	12189.6	12576.0	12980.0	13048.3	13420.1	13915.1	14250.5	14695.7	15030.4
DE42	11210.6	11542.6	11767.5	12400.2	12869.2	13234.9	13477.5	13807.8	14293.8	14654.0	15101.3	15429.2
DE50	15385.5	16083.1	16464.1	17051.9	17765.1	18378.1	17965.6	18078.6	18192.8	19220.8	19806.5	20252.8
DE60	15944.5	16395.5	16636.1	17253.9	18047.2	19066.1	19393.7	20171.4	21208.4	22355.6	22355.4	22920.2
DE71	14424.2	14685.3	14937.1	15635.7	16098.8	16790.7	17041.0	17482.6	17992.5	18411.5	18926.6	19289.1
DE72	12845.5	13001.5	13319.7	13998.0	14362.1	14942.9	15205.8	15674.9	16143.4	16678.3	17299.0	17628.8
DE73	12588.7	12767.6	12988.2	13613.7	13988.7	14600.5	14917.5	15571.3	16007.2	16536.4	17103.0	17638.2
DE80	10321.0	10675.2	10921.5	11625.0	12046.7	12410.9	12553.8	12865.0	13269.4	13719.2	14073.1	14330.8
DE91	13117.2	13384.9	13602.9	14176.2	14538.4	14846.0	15214.7	15631.2	15831.0	16331.4	16702.3	17126.0
DE92	13595.0	13897.4	14140.1	14801.0	15256.2	15631.0	15691.2	16093.0	16425.4	17009.9	17402.9	17819.0
DE93	13607.4	13934.3	14128.3	14727.7	15179.9	15623.7	15597.6	16102.1	16665.8	17318.0	17751.7	18225.9
DE94	12288.2	12618.8	12806.4	13481.0	13995.7	14440.2	14403.6	14812.1	15206.9	15739.1	16101.4	16492.9
DEA1	14563.0	14952.8	15315.9	15876.2	16449.8	16966.3	17037.6	17357.5	17892.4	18507.9	18861.9	19288.5
DEA2	14065.5	14480.7	14815.3	15459.7	16143.4	16742.7	16803.1	17110.9	17668.5	18203.3	18477.2	18861.8
DEA3	13230.7	13649.7	14002.9	14544.8	15119.1	15643.0	15713.5	16052.4	16602.8	17157.5	17481.6	17859.5
DEA4	14722.1	15176.8	15496.7	16079.4	16698.2	17280.9	17232.3	17475.3	17956.0	18636.0	19053.2	19517.0
DEA5	13930.5	14290.5	14600.3	15164.5	15767.3	16320.3	16436.7	16821.3	17384.7	18028.6	18440.2	18898.4
DEB1	13076.5	13321.3	13564.4	14136.4	14674.9	14994.5	15273.1	15638.9	16001.9	16602.9	17051.7	17498.9
DEB2	12143.9	12391.2	12656.0	13243.0	13863.0	14307.7	14643.2	15121.7	15641.3	16290.6	16813.4	17257.8
DEB3	13147.8	13370.3	13643.0	14253.2	14896.2	15317.1	15597.9	15957.5	16355.5	16847.3	17200.7	17591.7
DEC0	12284.7	12590.7	12978.6	13877.1	14470.9	15156.3	15036.3	15543.0	16185.4	16841.9	17322.3	17764.0
DED1	10805.6	11182.8	11477.9	12236.6	12742.7	13168.6	13430.9	13745.1	14061.4	14346.4	14775.9	15119.5
DED2	10935.2	11263.9	11532.2	12227.9	12670.9	13061.9	13418.0	13809.5	14191.7	14428.4	14769.4	15052.0
DED3	10967.2	11302.9	11532.0	12217.2	12594.6	12954.2	13256.5	13618.5	14015.1	14201.1	14517.7	14749.5
DEE0	10566.7	10892.2	11154.1	11869.8	12284.0	12600.7	12788.9	13083.2	13382.8	13740.1	14060.6	14354.5
DEF0	13508.7	13765.5	14007.1	14421.2	14724.3	15069.3	15329.6	15499.3	15809.0	16533.3	17018.0	17439.1
DEG0	10416.6	10771.8	11180.2	11987.4	12453.8	12832.7	13005.9	13321.1	13585.1	13900.8	14293.6	14614.2
